tender_id,publication_date,issuing_authority_name,issuing_authority_type,issuing_authority_website,issuing_authority_phone,issuing_authority_fax,issuing_authority_email,tender_title,estimated_contract_value,cpv_classification,contract_duration,winning_company,winning_company_nif,final_contract_value,motivation,contract_value_raw_EUR
52/F/25/SU/GE/T/001-03_ LOTE 4,26-03-2025,Health Services Management of the Lanzarote Health Area,Regional authority,http://www.gobiernodecanarias.org,+34 928478909,+34 928815034,contratacionpublica-hdjmo.scs@gobiernodecanarias.org,"Supply of medicines containing the active ingredients Adalimumab (20, 40 and 80 mg), Rituximab (100 and 500 mg) and Trastuzumab (150 and 420 mg) within the scope of the Canarian Health Service, destined for the Doctor José Molina Orosa University Hospital, through accession to Framework Agreement No. 23/S/23/SU/DG/A/AM15, open procedure and processing ordinary.",40.080 EUR.,33690000,12 Month(s),PFIZERSLU,B28089225,40.080 EUR,"By Resolution number 933, dated March 25, 2025, of the Health Services Management of the Health Area of ​​Lanzarote.",40080.0
51/F/23/SU/GE/D/0107,27-03-2023,Address Management University Hospital of Gran Canaria Doctor Negrín,Autonomous Community,http://www.gobiernodecanarias.org/sanidad/scs,+034 928450147,+034 928449814,ucahugcdn.scs@gobiernodecanarias.org,"Contract based on the framework agreement for the supply of drugs adalimumab, trastuzumab and rituximab",564.300 EUR.,33690000,Del 29/03/2023,"ABBVIE SPAIN, S.L.U.",B86418787,564.300 EUR,according to the technical report,564300.0
53/F/23/SU/GE/T/0080,21-09-2023,Fuerteventura Health Service Management,Regional authority,http://www3.gobiernodecanarias.org/sanidad/scs/,+34 928862027,+34 928862009,contratahgf.scs@gobiernodecanarias.org,Adalimumab 40 mg,376.200 EUR.,,,"ABBVIE SPAIN, S.L.",B86418787,376.200 EUR,"Awarddee of the Framework Agreement, File: 23/S/19/SU/DG/A/Am0",376200.0
53/F/23/SU/GE/T/0080,21-09-2023,Fuerteventura Health Service Management,Regional authority,http://www3.gobiernodecanarias.org/sanidad/scs/,+34 928862027,+34 928862009,contratahgf.scs@gobiernodecanarias.org,Trastuzumab 150 mg C/1,"17.470,6 EUR.",,,PFIZER S.L.U.,B84118694,"17.470,6 EUR","Awarddee of the Framework Agreement, File: 23/S/19/SU/DG/A/Am0",17470.6
53/F/23/SU/GE/T/0080,21-09-2023,Fuerteventura Health Service Management,Regional authority,http://www3.gobiernodecanarias.org/sanidad/scs/,+34 928862027,+34 928862009,contratahgf.scs@gobiernodecanarias.org,Rituximab 100 mg. C/2 y 500mg. C/1,"28.354,4 EUR.",,,KERN PHARMA S.L.,B58296773,"28.354,4 EUR","Awarddee of the Framework Agreement, File: 23/S/19/SU/DG/A/Am0",28354.4
SAS_BAR_2025_DAM_39 (LOT 2),25-03-2025,Barbastro Health Sector Management,Regional authority,,+34 974249032,,sum.hbrb@salud.aragon.es,"Supply of original biological and biosimilar medicines based on the active ingredient ADALIMUMAB 40 mg for the Barbastro Hospital (Derived from the Homologation Framework Agreement 62 DG/20, Lot 2)",147.472 EUR.,"33000000, 33600000",Del 01/04/2025,"ABBVIE SPAIN, S.L.U.",B86418787,18.810 EUR,The offer meets the specific needs for the Barbastro Hospital,147472.0
51/F/22/SU/GE/D/0134,02-03-2022,Address Management University Hospital of Gran Canaria Doctor Negrín,Autonomous Community,http://www.gobiernodecanarias.org/sanidad/scs,+034 928450147,+034 928449814,ucahugcdn.scs@gobiernodecanarias.org,"Contract based on the framework agreement for the supply of the active ingredients adalimumab, trasstuzumab and rituximab",395.010 EUR.,33690000,Del 02/03/2022,"ABBVIE SPAIN, S.L.U.",B86418787,395.010 EUR,according to the technical report,395010.0
51/F/22/SU/GE/D/0135-5,17-02-2022,Address Management University Hospital of Gran Canaria Doctor Negrín,Autonomous Community,http://www.gobiernodecanarias.org/sanidad/scs,+034 928450147,+034 928449814,ucahugcdn.scs@gobiernodecanarias.org,"contract based on the framework agreement for the supply of the active ingredients adalimumab, trastuzumab and rituximab",376.200 EUR.,33690000,Del 17/02/2022,Sandoz Farmaceutica,A08233801,376.200 EUR,according to pharmacy request,376200.0
55/F/21/SU/GE/T/223,17-11-2021,Managing Director of the Nuestra Señora de Candelaria University Hospital,Autonomous Community,http://www3.gobiernodecanarias.org/sanidad/scs/,+034 922601800,+034 922602129,cadmhunsc.scs@gobiernodecanarias.org,"Supply of the active ingredients Adalimumab, Trastuzumab and Rituximab, derived from the Framework Agreement, for the Pharmacy Service of the Ntra. Sra. de Candelaria University Hospital","5.365.262,7 EUR.",33690000,Del 01/01/2022,"ABBVIE SPAIN, S.L.U.",B86418787,1.640.520 EUR,Framework Agreement Award.,5365262.7
CS/99/1124045146/24/PNSP,28-01-2025,General Directorate of Economic Planning,Regional authority,,+34 924382500,+34 924382754,ses.sgeca@salud-juntaex.es,"Contract based on the Framework Agreement for the supply of the drug HUMIRA® (ADALIMUMAB) for the continuation of current treatments, excluding new treatments, destined for the pharmacies of the hospitals of the Extremadura Health Service.","7.678.492,8 EUR.",33690000,12 Month(s),"ABBVIE SPAIN, S.L.U.",B86418787,1.785.696 EUR,Best value for money,7678492.8
56/F/24/SU/GE/D/081 3,28-08-2024,Management of Health Services of the La Palma Health Area,Regional authority,http://www.gobiernodecanarias.org,+34 922185151,+34 922185151,contra-hglp.scs@gobiernodecanarias.org,Adalimumab 40 MG,2.088 EUR.,,,"Sandoz Farmacéutica, SA",A08233801,2.088 EUR,Bidder awarded the framework agreement.,2088.0
23/S/19/SU/DG/A/AM008,14-06-2019,General Directorate of Economic Resources of the Canarian Health Service,,http://www.gobiernodecanarias.org/sanidad,,,,"Supply of the active ingredients Adalimumab, Trastuzumab and Rituximab to the Canary Islands Health Service","55.418.461,08 EUR.",33690000,2 Year(s),,,,,55418461.08
51/F/24/SU/GE/D/0304,25-11-2024,Address Management University Hospital of Gran Canaria Doctor Negrín,Regional authority,http://www.gobiernodecanarias.org/sanidad/scs,+034 928450147,+034 928449814,ucahugcdn.scs@gobiernodecanarias.org,"Contract based on a framework agreement for the supply of the active ingredients ADALIMUMAB, RITUXIMAB and TRASTUZUMAB",154.800 EUR.,33690000,Del 28/11/2024,"KERN PHARMA, S.L.",B58296773,154.800 EUR,According to technical advice report,154800.0
52/F/25/SU/GE/T/001-03_ LOTE 5,31-03-2025,Health Services Management of the Lanzarote Health Area,Regional authority,http://www.gobiernodecanarias.org,+34 928478909,+34 928815034,contratacionpublica-hdjmo.scs@gobiernodecanarias.org,"Supply of medicines containing the active ingredients Adalimumab (20, 40 and 80 mg), Rituximab (100 and 500 mg) and Trastuzumab (150 and 420 mg) within the scope of the Canarian Health Service, destined for the Doctor José Molina Orosa University Hospital, through accession to Framework Agreement No. 23/S/23/SU/DG/A/AM15, open procedure and ordinary processing",40.080 EUR.,33690000,12 Month(s),PFIZERSLU,B28089225,40.080 EUR,"By Resolution number 933, dated March 25, 2025, of the Health Services Management of the Health Area of ​​Lanzarote.",40080.0
51/F/23/SU/GE/D/0108,17-03-2023,Address Management University Hospital of Gran Canaria Doctor Negrín,Autonomous Community,http://www.gobiernodecanarias.org/sanidad/scs,+034 928450147,+034 928449814,ucahugcdn.scs@gobiernodecanarias.org,"Contract based on the framework agreement for the supply of drugs adalimumab, trastuzumab and rituximab",67.200 EUR.,33690000,Del 20/03/2023,BIOGEN SPAIN S.L.,B83086736,67.200 EUR,according to the technical report,67200.0
51/F/24/SU/GE/D/0302,21-10-2024,Address Management University Hospital of Gran Canaria Doctor Negrín,Regional authority,http://www.gobiernodecanarias.org/sanidad/scs,+034 928450147,+034 928449814,ucahugcdn.scs@gobiernodecanarias.org,"Supply of the active ingredients adalimumab, rituximab and trastuzumab",870.000 EUR.,33690000,Del 01/02/2023,Sandoz Farmaceutica,A08233801,870.000 EUR,According to the Pharmacy Service Report,870000.0
PC 134 HMS/2021,26-08-2021,Health Sector Management of Zaragoza 2,Autonomous Community,,,,concursos-hms@salud.aragon.es,"Supply of biological and biosimilar medicines based on the active ingredients Adalimumab, Trastuzumaz, Etanercept, Rituximab, Infliximab and Bevacizumab for the Miguel Servet University Hospital in Zaragoza","11.038.850,05 EUR.",33600000,12 Month(s),"ABBVIE SPAIN, S.L.U.",B86418787,"1.918.630,77 EUR",Award of contracts derived from the Framework Agreement 62 DG/20,11038850.05
53/F/22/SU/GE/T/0023,06-04-2022,Fuerteventura Health Service Management,Autonomous Community,http://www3.gobiernodecanarias.org/sanidad/scs/,+34 928862027,+34 928862009,contratahgf.scs@gobiernodecanarias.org,Adalimumab 40 mg,,,,"ABBVIE SPAIN, S.L.U.",B86418787,564.300 EUR,Awarddee of Framework Agreement 23/S/19/SU/DG/A/Am0,564300.0
53/F/22/SU/GE/T/0023,06-04-2022,Fuerteventura Health Service Management,Autonomous Community,http://www3.gobiernodecanarias.org/sanidad/scs/,+34 928862027,+34 928862009,contratahgf.scs@gobiernodecanarias.org,Rituximab,,,,"ROCHE FARMA, S.A.",A08023145,29.382 EUR,Awarddee of Framework Agreement 23/S/19/SU/DG/A/Am0,29382.0
23/S/23/SU/DG/A/AM15-01 - Lot 2 - Sandoz,28-06-2024,Management Directorate of the Insular Maternal and Child University Hospital Complex,Regional authority,https://www3.gobiernodecanarias.org/sanidad/scs,+928 444149,+928 444182,gerenchuimiscs@gobiernodecanarias.org,Riteximab (100 and 500 Mg) and Trastuzumab (20 and 420 Mg). Canaria.,1.733.040 EUR.,33690000,21 Month(s),Sandoz Farmaceutica,A08233801,1.733.040 EUR,"By resolution 799/2024, of May 10, of the General Directorate of Economic Resources of the Canary Islands Health Service, by which file 23/S/23/SU/DG/A/AM15 was awarded for the Supply of the active ingredients Adalimumab (20, 40 and 80 mg), Rituximab (100 and 500 mg) and Trastuzumab (150 and 420 mg) destined for the Canary Islands Health Service, through a framework agreement.",1733040.0
55/F/24/SU/GE/T/0009,07-08-2024,Managing Director of the Nuestra Señora de Candelaria University Hospital,Regional authority,http://www3.gobiernodecanarias.org/sanidad/scs/,+034 922601800,+034 922602129,cadmhunsc.scs@gobiernodecanarias.org,"Supply of the active ingredients Adalimumab (20,40,80 mg), Rituximab (100 and 500 mg.) and Trastuzumab (150 and 420 mg), contract based on Framework Agreement 23/S/23/SU/DG/A/AM15.","9.778.739,2 EUR.",33690000,Del 01/09/2024,"ABBVIE SPAIN, S.L.U.",B86418787,"254.311,2 EUR",Best Offer,9778739.2
23/S/23/SU/DG/A/AM15-01 - Lote 4 - Sandoz,28-06-2024,Management Directorate of the Insular Maternal and Child University Hospital Complex,Regional authority,https://www3.gobiernodecanarias.org/sanidad/scs,+928 444149,+928 444182,gerenchuimiscs@gobiernodecanarias.org,Riteximab (100 and 500 Mg) and Trastuzumab (20 and 420 Mg). Canaria.,347.724 EUR.,33690000,21 Month(s),Sandoz Farmaceutica,A08233801,347.724 EUR,"By resolution 799/2024, of May 10, of the General Directorate of Economic Resources of the Canary Islands Health Service, by which file 23/S/23/SU/DG/A/AM15 was awarded for the Supply of the active ingredients Adalimumab (20, 40 and 80 mg), Rituximab (100 and 500 mg) and Trastuzumab (150 and 420 mg) destined for the Canary Islands Health Service, through a framework agreement.",347724.0
51/F/22/SU/GE/D/0137,08-03-2022,Address Management University Hospital of Gran Canaria Doctor Negrín,Autonomous Community,http://www.gobiernodecanarias.org/sanidad/scs,+034 928450147,+034 928449814,ucahugcdn.scs@gobiernodecanarias.org,"Contract based on the framework agreement for the supply of the active ingredients adalimumab, trastuzumab and rituximab",100.800 EUR.,33690000,Del 09/03/2022,BIOGEN SPAIN S.L.,B83086736,100.800 EUR,according to the technical report,100800.0
56/F/24/SU/GE/D/081 1,28-08-2024,Management of Health Services of the La Palma Health Area,Regional authority,http://www.gobiernodecanarias.org,+34 922185151,+34 922185151,contra-hglp.scs@gobiernodecanarias.org,Adalimumab 20 MG,7.524 EUR.,,,"Abbvie Spain, SLU",B86418787,7.524 EUR,Bidder awarded the framework agreement.,7524.0
56/F/24/SU/GE/D/081 1,28-08-2024,Management of Health Services of the La Palma Health Area,Regional authority,http://www.gobiernodecanarias.org,+34 922185151,+34 922185151,contra-hglp.scs@gobiernodecanarias.org,Adalimumab 40 MG,"24.076,8 EUR.",,,"Abbvie Spain, SLU",B86418787,"24.076,8 EUR",Bidder awarded the framework agreement.,24076.8
53/F/23/SU/GE/T/0028,11-09-2023,Fuerteventura Health Service Management,Regional authority,http://www3.gobiernodecanarias.org/sanidad/scs/,+34 928862027,+34 928862009,contratahgf.scs@gobiernodecanarias.org,Adalimumab 40 mg,225.720 EUR.,,,"ABBVIE SPAIN, S.L.",B86418787,225.720 EUR,"Awarddee Framework Agreement, File: 23/S/19/SU/DG/A/Am0",225720.0
53/F/23/SU/GE/T/0028,11-09-2023,Fuerteventura Health Service Management,Regional authority,http://www3.gobiernodecanarias.org/sanidad/scs/,+34 928862027,+34 928862009,contratahgf.scs@gobiernodecanarias.org,Trastuzumab 150mg,"13.726,9 EUR.",,,PFIZER GEP S.L.U.,B84118694,"13.726,9 EUR","Awarddee Framework Agreement, File: 23/S/19/SU/DG/A/Am0",13726.9
53/F/23/SU/GE/T/0028,11-09-2023,Fuerteventura Health Service Management,Regional authority,http://www3.gobiernodecanarias.org/sanidad/scs/,+34 928862027,+34 928862009,contratahgf.scs@gobiernodecanarias.org,Rituximab 100 y 500 mg,"32.163,2 EUR.",,,KERN PHARMA S.L.,B58296773,"32.163,2 EUR","Awarddee Framework Agreement, File: 23/S/19/SU/DG/A/Am0",32163.2
56/F/24/SU/GE/D/081 2,28-08-2024,Management of Health Services of the La Palma Health Area,Regional authority,http://www.gobiernodecanarias.org,+34 922185151,+34 922185151,contra-hglp.scs@gobiernodecanarias.org,Adalimumab 40 MG,156.520 EUR.,,,"Kern Pharma, SL",B58296773,156.520 EUR,Bidder awarded the framework agreement.,156520.0
56/F/24/SU/GE/D/081 2,28-08-2024,Management of Health Services of the La Palma Health Area,Regional authority,http://www.gobiernodecanarias.org,+34 922185151,+34 922185151,contra-hglp.scs@gobiernodecanarias.org,Adalimumab 80 MG,78.000 EUR.,,,"Kern Pharma, SL",B58296773,78.000 EUR,Bidder awarded the framework agreement.,78000.0
56/F/24/SU/GE/D/081 2,28-08-2024,Management of Health Services of the La Palma Health Area,Regional authority,http://www.gobiernodecanarias.org,+34 922185151,+34 922185151,contra-hglp.scs@gobiernodecanarias.org,Rituximab 500 MG,87.000 EUR.,,,"Kern Pharma, SL",B58296773,87.000 EUR,Bidder awarded the framework agreement.,87000.0
56/F/24/SU/GE/D/081 2,28-08-2024,Management of Health Services of the La Palma Health Area,Regional authority,http://www.gobiernodecanarias.org,+34 922185151,+34 922185151,contra-hglp.scs@gobiernodecanarias.org,Trastuzumab 420 MG,16.632 EUR.,,,"Kern Pharma, SL",B58296773,16.632 EUR,Bidder awarded the framework agreement.,16632.0
23/S/23/SU/DG/A/AM15-01 - Lote 5 - Pfizer,28-06-2024,Management Directorate of the Insular Maternal and Child University Hospital Complex,Regional authority,https://www3.gobiernodecanarias.org/sanidad/scs,+928 444149,+928 444182,gerenchuimiscs@gobiernodecanarias.org,Riteximab (100 and 500 Mg) and Trastuzumab (20 and 420 Mg). Canaria.,169.344 EUR.,33690000,21 Month(s),PFIZERSLU,B28089225,169.344 EUR,"By resolution 799/2024, of May 10, of the General Directorate of Economic Resources of the Canary Islands Health Service, by which file 23/S/23/SU/DG/A/AM15 was awarded for the Supply of the active ingredients Adalimumab (20, 40 and 80 mg), Rituximab (100 and 500 mg) and Trastuzumab (150 and 420 mg) destined for the Canary Islands Health Service, through a framework agreement.",169344.0
53/F/21/SU/GE/N/0032,20-05-2021,Fuerteventura Health Service Management,Autonomous Community,http://www3.gobiernodecanarias.org/sanidad/scs/,+34 928862027,+34 928862009,contratahgf.scs@gobiernodecanarias.org,Pharmaceutical supply of the active ingredient Adalimumab 80 mg for the Health Services Management of the Fuerteventura Health Area.,165.528 EUR.,33690000,12 Month(s),"ABBVIE SPAIN, S.L.U.",B86418787,75.240 EUR,"As established in the Award Resolution of the Health Services Management of the Fuerteventura Health Area No. 1269/2021 dated May 16, 2021, by which the contracting file number 53/F/21/SU/GE/N/0032 is awarded, for the pharmaceutical supply of the active ingredient Adalimumab 80 mg, for this Management.",165528.0
23/S/23/SU/DG/A/AM15,05-01-2024,General Directorate of Economic Resources of the Canarian Health Service,,http://www3.gobiernodecanarias.org/sanidad/scs/,,,,"Supply of medicines containing the active ingredients adalimumab (20, 40 and 80 mg), rituximab (100 and 500 mg) and trastuzumab (150 and 420 mg), destined for the Canary Islands Health Service",45.401.804 EUR.,33690000,2 Year(s),,,,,45401804.0
51/F/22/SU/GE/D/0135,17-02-2022,Address Management University Hospital of Gran Canaria Doctor Negrín,Autonomous Community,http://www.gobiernodecanarias.org/sanidad/scs,+034 928450147,+034 928449814,ucahugcdn.scs@gobiernodecanarias.org,"contract based on the framework agreement for the supply of the active ingredients adalimumab, trastuzumab and rituximab",711.000 EUR.,"33000000, 33690000",Del 17/02/2022,Sandoz Farmaceutica,A08233801,711.000 EUR,according to the request of the pharmacy service,711000.0
52/F/21/SU/GE/T/048,17-05-2021,Health Services Management of the Lanzarote Health Area,Autonomous Community,http://www.gobiernodecanarias.org,+34 928595392,+34 928815034,uchgl.scs@gobiernodecanarias.org,"Adalimumab (Humira 40MG/0,4 ml J.Prec. E/2 ( 709242) y (Humira 40MG/0,4 ml Plu.Prec. E/2 (CN 709452)",,"709242, 709452",,"ABBVIE SPAIN, S.L.U.",B86418787,100.800 EUR,"Award Resolution number 552 of March 15, 2021 of the Health Services Management of the Health Area of ​​Lanzarote",100800.0
52/F/21/SU/GE/T/048,17-05-2021,Health Services Management of the Lanzarote Health Area,Autonomous Community,http://www.gobiernodecanarias.org,+34 928595392,+34 928815034,uchgl.scs@gobiernodecanarias.org,Trastuzumab (Trazimera 150 MG 1 vial powder infusion) CN 723755,,723755,,"PFIZER, S.L.U.",B28089225,99.832 EUR,"Award Resolution number 552 of March 15, 2021 of the Health Services Management of the Health Area of ​​Lanzarote",99832.0
52/F/21/SU/GE/T/048,17-05-2021,Health Services Management of the Lanzarote Health Area,Autonomous Community,http://www.gobiernodecanarias.org,+34 928595392,+34 928815034,uchgl.scs@gobiernodecanarias.org,Rituximab (Truxima 100 MG vial 10ML E/2) CN 718649 y (Truxima 500 MG vial 50ML E/1) CN 715592,,"718649, 715592",,"KERN PHARMA, S.L.",B58296773,68.770 EUR,"Award Resolution number 552 of March 15, 2021 of the Health Services Management of the Health Area of ​​Lanzarote",68770.0
CS/99/1124045146/24/AM,03-12-2024,General Directorate of Economic Planning,Regional authority,,+34 924382500,+34 924382754,ses.sgeca@salud-juntaex.es,"Framework Agreement for the Supply of the drug Humira (Adalimumab) to the pharmacies of the hospitals of the Extremadura Health Service, following the Negotiated Procedure without Advertising provided for in article 168 A) 2 of Law 9/2017.","31.482.365,29 EUR.",33690000,12 Month(s),"ABBVIE SPAIN, S.L.U.",B86418787,1.785.696 EUR,Best value for money,31482365.29
52/F/25/SU/GE/T/001-03_ LOTE 2,31-03-2025,Health Services Management of the Lanzarote Health Area,Regional authority,http://www.gobiernodecanarias.org,+34 928478909,+34 928815034,contratacionpublica-hdjmo.scs@gobiernodecanarias.org,"Supply of medicines containing the active ingredients Adalimumab (20, 40 and 80 mg), Rituximab (100 and 500 mg) and Trastuzumab (150 and 420 mg) within the scope of the Canary Islands Health Service, destined for the Doctor José Molina Orosa University Hospital, through accession to Framework Agreement No. 23/S/23/SU/DG/A/AM15, open procedure and ordinary processing",222.200 EUR.,33690000,12 Month(s),"KERN PHARMA, S.L.",B58296773,222.200 EUR,"By Resolution number 933, dated March 25, 2025, of the Health Services Management of the Health Area of ​​Lanzarote.",222200.0
53/F/24/SU/GE/T/0024,18-06-2024,Fuerteventura Health Service Management,Regional authority,http://www3.gobiernodecanarias.org/sanidad/scs/,+34 928862027,+34 928862009,contratahgf.scs@gobiernodecanarias.org,Adalimumab 40 mg,"311.493,6 EUR.",,,"ABBVIE SPAIN, S.L.",B86418787,"311.493,6 EUR","Awarddee of the Framework Agreement, File: 23/S/19/SU/DG/N/Am8",311493.6
53/F/24/SU/GE/T/0024,18-06-2024,Fuerteventura Health Service Management,Regional authority,http://www3.gobiernodecanarias.org/sanidad/scs/,+34 928862027,+34 928862009,contratahgf.scs@gobiernodecanarias.org,Rituximab,13.225 EUR.,,,KERN PHARMA S.L.,B58296773,13.225 EUR,"Awarddee of the Framework Agreement, File: 23/S/19/SU/DG/N/Am8",13225.0
53/F/25/SU/GE/T/0017,07-05-2025,Fuerteventura Health Service Management,Regional authority,http://www3.gobiernodecanarias.org/sanidad/scs/,+34 928862027,+34 928862009,contratahgf.scs@gobiernodecanarias.org,Adalimumab 40 mg - Vial / Prefilled Syringe / Pen,141.556 EUR.,,,KERN PHARMA S.L.,B58296773,141.556 EUR,"Awardee of the Framework Agreement, file: 23/S/23/SU/DG/A/AM15.",141556.0
53/F/25/SU/GE/T/0017,07-05-2025,Fuerteventura Health Service Management,Regional authority,http://www3.gobiernodecanarias.org/sanidad/scs/,+34 928862027,+34 928862009,contratahgf.scs@gobiernodecanarias.org,Adalimumab 80 mg - Vial/Prefilled Syringe/Pen,108.000 EUR.,,,KERN PHARMA S.L.,B58296773,108.000 EUR,"Awardee of the Framework Agreement, file: 23/S/23/SU/DG/A/AM15.",108000.0
53/F/25/SU/GE/T/0017,07-05-2025,Fuerteventura Health Service Management,Regional authority,http://www3.gobiernodecanarias.org/sanidad/scs/,+34 928862027,+34 928862009,contratahgf.scs@gobiernodecanarias.org,Rituximab 100 y 500 mg,14.732 EUR.,,,KERN PHARMA S.L.,B58296773,14.732 EUR,"Awardee of the Framework Agreement, file: 23/S/23/SU/DG/A/AM15.",14732.0
53/F/25/SU/GE/T/0017,07-05-2025,Fuerteventura Health Service Management,Regional authority,http://www3.gobiernodecanarias.org/sanidad/scs/,+34 928862027,+34 928862009,contratahgf.scs@gobiernodecanarias.org,Trastuzumab 150 Trazimer,4.200 EUR.,,,PFIZER S.L.U.,B28089225,4.200 EUR,"Awardee of the Framework Agreement, file: 23/S/23/SU/DG/A/AM15.",4200.0
